id,node_type,wiki_url
1911 Encyclopædia Britannica,expanded,https://en.wikipedia.org/wiki/1911_Encyclop%C3%A6dia_Britannica
1970s energy crisis,expanded,https://en.wikipedia.org/wiki/1970s_energy_crisis
19th-century French literature,expanded,https://en.wikipedia.org/wiki/19th-century_French_literature
19th-century philosophy,expanded,https://en.wikipedia.org/wiki/19th-century_philosophy
20th-century philosophy,expanded,https://en.wikipedia.org/wiki/20th-century_philosophy
A Cradle Song,expanded,https://en.wikipedia.org/wiki/A_Cradle_Song
A Divine Image,expanded,https://en.wikipedia.org/wiki/A_Divine_Image
A Dream (Blake poem),expanded,https://en.wikipedia.org/wiki/A_Dream_%28Blake_poem%29
A Little Boy Lost,expanded,https://en.wikipedia.org/wiki/A_Little_Boy_Lost
A Little Girl Lost,expanded,https://en.wikipedia.org/wiki/A_Little_Girl_Lost
A Mathematician's Apology,expanded,https://en.wikipedia.org/wiki/A_Mathematician%27s_Apology
A Poison Tree,expanded,https://en.wikipedia.org/wiki/A_Poison_Tree
A Short Biographical Dictionary of English Literature,expanded,https://en.wikipedia.org/wiki/A_Short_Biographical_Dictionary_of_English_Literature
A Tale of Two Cities,expanded,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities
A Treatise on Painting,expanded,https://en.wikipedia.org/wiki/A_Treatise_on_Painting
A Vision of the Last Judgement,expanded,https://en.wikipedia.org/wiki/A_Vision_of_the_Last_Judgement
Abandonment (existentialism),expanded,https://en.wikipedia.org/wiki/Abandonment_%28existentialism%29
Abnormal psychology,expanded,https://en.wikipedia.org/wiki/Abnormal_psychology
Abraham Maslow,expanded,https://en.wikipedia.org/wiki/Abraham_Maslow
Absurdism,expanded,https://en.wikipedia.org/wiki/Absurdism
Achim von Arnim,expanded,https://en.wikipedia.org/wiki/Achim_von_Arnim
Acosmism,expanded,https://en.wikipedia.org/wiki/Acosmism
Adam Mickiewicz,expanded,https://en.wikipedia.org/wiki/Adam_Mickiewicz
Adam Müller,expanded,https://en.wikipedia.org/wiki/Adam_M%C3%BCller
Adam Oehlenschläger,expanded,https://en.wikipedia.org/wiki/Adam_Oehlenschl%C3%A4ger
Adams Media,expanded,https://en.wikipedia.org/wiki/Adams_Media
Adi Shankara,expanded,https://en.wikipedia.org/wiki/Adi_Shankara
Adolph Tidemand,expanded,https://en.wikipedia.org/wiki/Adolph_Tidemand
Adolphe Adam,expanded,https://en.wikipedia.org/wiki/Adolphe_Adam
Adultery,expanded,https://en.wikipedia.org/wiki/Adultery
Aesthetics,expanded,https://en.wikipedia.org/wiki/Aesthetics
Affective neuroscience,expanded,https://en.wikipedia.org/wiki/Affective_neuroscience
Affective science,expanded,https://en.wikipedia.org/wiki/Affective_science
Afrikan Spir,expanded,https://en.wikipedia.org/wiki/Afrikan_Spir
Age of Enlightenment,expanded,https://en.wikipedia.org/wiki/Age_of_Enlightenment
Agnosticism,expanded,https://en.wikipedia.org/wiki/Agnosticism
Agony in the Garden (Blake),expanded,https://en.wikipedia.org/wiki/Agony_in_the_Garden_%28Blake%29
Ah! Sun-flower,expanded,https://en.wikipedia.org/wiki/Ah%21_Sun-flower
Ahania,expanded,https://en.wikipedia.org/wiki/Ahania
Akseli Gallen-Kallela,expanded,https://en.wikipedia.org/wiki/Akseli_Gallen-Kallela
Alain Locke,expanded,https://en.wikipedia.org/wiki/Alain_Locke
Alan E. Kazdin,expanded,https://en.wikipedia.org/wiki/Alan_E._Kazdin
Alan Watts,expanded,https://en.wikipedia.org/wiki/Alan_Watts
Alba Rojo Cama,expanded,https://en.wikipedia.org/wiki/Alba_Rojo_Cama
Albert Bandura,expanded,https://en.wikipedia.org/wiki/Albert_Bandura
Albert Bierstadt,expanded,https://en.wikipedia.org/wiki/Albert_Bierstadt
Albert Camus,expanded,https://en.wikipedia.org/wiki/Albert_Camus
Albert Edelfelt,expanded,https://en.wikipedia.org/wiki/Albert_Edelfelt
Albert Poffenberger,expanded,https://en.wikipedia.org/wiki/Albert_Poffenberger
Alberto Giacometti,expanded,https://en.wikipedia.org/wiki/Alberto_Giacometti
Albion (Blake),expanded,https://en.wikipedia.org/wiki/Albion_%28Blake%29
Albrecht Dürer,expanded,https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer
Albrecht Ritschl,expanded,https://en.wikipedia.org/wiki/Albrecht_Ritschl
Aldous Huxley,expanded,https://en.wikipedia.org/wiki/Aldous_Huxley
Aleksander Fredro,expanded,https://en.wikipedia.org/wiki/Aleksander_Fredro
Aleksey Khomyakov,expanded,https://en.wikipedia.org/wiki/Aleksey_Khomyakov
Alessandro Manzoni,expanded,https://en.wikipedia.org/wiki/Alessandro_Manzoni
Alexander Borodin,expanded,https://en.wikipedia.org/wiki/Alexander_Borodin
Alexander Chavchavadze,expanded,https://en.wikipedia.org/wiki/Alexander_Chavchavadze
Alexander Gilchrist,expanded,https://en.wikipedia.org/wiki/Alexander_Gilchrist
Alexander Pruss,expanded,https://en.wikipedia.org/wiki/Alexander_Pruss
Alexander Pushkin,expanded,https://en.wikipedia.org/wiki/Alexander_Pushkin
Alexander Scriabin,expanded,https://en.wikipedia.org/wiki/Alexander_Scriabin
Alexandre Dumas,expanded,https://en.wikipedia.org/wiki/Alexandre_Dumas
Alexandre Herculano,expanded,https://en.wikipedia.org/wiki/Alexandre_Herculano
Alexandru Macedonski,expanded,https://en.wikipedia.org/wiki/Alexandru_Macedonski
Alfred Henry Lloyd,expanded,https://en.wikipedia.org/wiki/Alfred_Henry_Lloyd
Alfred de Musset,expanded,https://en.wikipedia.org/wiki/Alfred_de_Musset
Alfred de Vigny,expanded,https://en.wikipedia.org/wiki/Alfred_de_Vigny
"Alfredo d'Escragnolle Taunay, Viscount of Taunay",expanded,https://en.wikipedia.org/wiki/Alfredo_d%27Escragnolle_Taunay%2C_Viscount_of_Taunay
Algernon Charles Swinburne,expanded,https://en.wikipedia.org/wiki/Algernon_Charles_Swinburne
Algorithm,expanded,https://en.wikipedia.org/wiki/Algorithm
Algorithmic art,expanded,https://en.wikipedia.org/wiki/Algorithmic_art
Ali Akbar Rashad,expanded,https://en.wikipedia.org/wiki/Ali_Akbar_Rashad
Alice James,expanded,https://en.wikipedia.org/wiki/Alice_James
Alkyl nitrites,expanded,https://en.wikipedia.org/wiki/Alkyl_nitrites
All Religions are One,expanded,https://en.wikipedia.org/wiki/All_Religions_are_One
Allen Ginsberg,expanded,https://en.wikipedia.org/wiki/Allen_Ginsberg
Alma mater,expanded,https://en.wikipedia.org/wiki/Alma_mater
Almeida Garrett,expanded,https://en.wikipedia.org/wiki/Almeida_Garrett
